Name,Date,Transect,Deployment,QAQC_by,Drop_time,Notes,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1825,916,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,2048,1127,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D3_20210701.png,2021-07-01,10,3,,1521,,,48.53837,-123.00012,7,,,,,,,,1837,1552,DESP,mcmahsta,2021-07-07 17:29:38+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,510,633,DESP,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,423,2397,COCO,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,923,570,DESP,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,720,703,DESP,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,930,1530,MGSU,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,906,1485,DESP,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,633,1858,MGSU,whippo,2021-07-05 22:05:07+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,711,2244,COCO,mcmahsta,2021-07-07 17:57:19+00:00
T10D4_20210701.png,2021-07-01,10,4,,1528,,,48.53844,-122.99999,7,,,,,,,,985,491,DESP,mcmahsta,2021-07-07 17:57:19+00:00
